City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.08,-159.32,77.0,88,90,6.93,light rain
1,Rikitea,PF,-23.12,-134.97,74.17,86,72,24.36,broken clouds
2,Suba,PH,10.84,121.01,83.68,77,97,17.36,light rain
3,Hithadhoo,MV,-0.6,73.08,82.17,74,100,7.96,heavy intensity rain
4,Norman Wells,CA,65.28,-126.83,-2.2,84,75,2.24,broken clouds
5,Ostrovnoy,RU,68.05,39.51,38.48,91,100,25.34,overcast clouds
6,Nouadhibou,MR,20.93,-17.03,73.4,49,0,13.87,clear sky
7,Bosaso,SO,11.28,49.18,76.59,72,0,4.99,clear sky
8,Namatanai,PG,-3.67,152.43,83.75,73,67,3.85,broken clouds
9,Victoria,HK,22.29,114.16,81.0,60,100,1.01,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,57.2,54,40,6.93,scattered clouds
11,Punta Arenas,CL,-53.15,-70.92,51.8,71,0,5.82,clear sky
12,Bengkulu,ID,-3.8,102.27,80.82,79,100,1.1,overcast clouds
13,Mercedes,AR,-34.65,-59.43,59.0,87,5,7.09,clear sky
14,Myitkyina,MM,25.38,97.4,73.02,95,97,1.92,light rain
15,Atuona,PF,-9.8,-139.03,77.86,77,92,14.76,light rain
16,Vaini,TO,-21.2,-175.2,78.8,83,75,10.29,broken clouds
17,Carlisle,US,40.2,-77.19,42.8,60,75,23.04,broken clouds
18,Pisco,PE,-13.7,-76.22,64.4,82,90,13.87,overcast clouds
19,Sitka,US,57.05,-135.33,50.0,87,90,21.92,mist
20,Thompson,CA,55.74,-97.86,24.8,92,75,6.93,broken clouds
21,Male,MV,4.17,73.51,86.0,74,20,5.82,few clouds
22,Hobart,AU,-42.88,147.33,77.0,44,0,6.93,clear sky
23,Nuuk,GL,64.18,-51.72,23.0,100,1,6.93,light snow
24,Puerto Ayora,EC,-0.74,-90.35,69.01,91,99,3.0,overcast clouds
25,Tilichiki,RU,60.47,166.1,29.43,93,82,2.91,broken clouds
26,Kununurra,AU,-15.77,128.73,98.6,35,50,8.05,scattered clouds
27,Bethel,US,41.37,-73.41,44.6,65,75,9.17,broken clouds
28,Sola,VU,-13.88,167.55,87.8,94,75,11.41,broken clouds
29,Arraial Do Cabo,BR,-22.97,-42.03,68.22,72,2,16.69,clear sky
30,Ormond Beach,US,29.29,-81.06,71.6,100,90,13.4,overcast clouds
31,Port-Gentil,GA,-0.72,8.78,78.91,83,100,10.98,moderate rain
32,Cape Town,ZA,-33.93,18.42,62.01,82,0,6.93,clear sky
33,Zyryanka,RU,65.75,150.85,-0.15,91,58,1.39,broken clouds
34,Nikolskoye,RU,59.7,30.79,35.6,93,90,6.71,overcast clouds
35,Puerto Ayacucho,VE,5.66,-67.62,73.53,95,100,0.36,overcast clouds
36,Mataura,NZ,-46.19,168.86,57.0,64,40,8.99,scattered clouds
37,Georgetown,MY,5.41,100.34,84.2,83,20,6.93,few clouds
38,Lampazos De Naranjo,MX,27.02,-100.52,65.16,53,2,3.38,clear sky
39,Albany,US,42.6,-73.97,41.0,75,76,1.01,light rain
40,Menongue,AO,-14.66,17.69,68.47,54,33,1.92,scattered clouds
41,New Norfolk,AU,-42.78,147.06,77.0,23,89,3.0,overcast clouds
42,Voskresenskoye,RU,56.84,45.43,32.92,94,97,4.21,overcast clouds
43,Torbay,CA,47.67,-52.73,39.0,74,75,17.22,broken clouds
44,Qaanaaq,GL,77.48,-69.36,3.0,75,0,6.51,clear sky
45,Perelyub,RU,51.87,50.37,40.3,71,13,9.01,few clouds
46,Nome,US,64.5,-165.41,19.4,79,1,3.65,clear sky
47,Yulara,AU,-25.24,130.99,95.0,10,0,11.41,clear sky
48,Aykhal,RU,66.0,111.5,8.6,78,0,6.71,clear sky
49,Port Alfred,ZA,-33.59,26.89,64.62,82,26,17.25,scattered clouds
50,Provideniya,RU,64.38,-173.3,26.6,63,20,5.12,few clouds
51,La Paz,BO,-16.5,-68.15,42.8,87,75,6.93,fog
52,Lompoc,US,34.64,-120.46,64.0,77,1,3.36,clear sky
53,Narsaq,GL,60.92,-46.05,19.4,57,0,2.24,clear sky
54,Busselton,AU,-33.65,115.33,59.0,86,95,4.83,light rain
55,Asau,RO,46.43,26.4,39.0,84,6,5.57,clear sky
56,Port Elizabeth,ZA,-33.92,25.57,62.6,93,20,9.17,few clouds
57,Chuy,UY,-33.7,-53.46,52.21,86,5,3.53,clear sky
58,Dikson,RU,73.51,80.55,18.46,98,89,8.95,overcast clouds
59,Hilo,US,19.73,-155.09,82.4,65,1,4.7,clear sky
60,Constitucion,CL,-35.33,-72.42,51.33,90,4,8.03,clear sky
61,Kaitangata,NZ,-46.28,169.85,55.99,56,91,8.99,overcast clouds
62,Alofi,NU,-19.06,-169.92,78.8,83,75,17.22,broken clouds
63,Khovu-Aksy,RU,51.13,93.6,26.42,92,100,3.62,overcast clouds
64,Tuktoyaktuk,CA,69.45,-133.04,12.2,85,90,16.11,light snow
65,Rantepao,ID,-2.97,119.9,79.21,72,100,3.33,light rain
66,Cabo San Lucas,MX,22.89,-109.91,79.0,73,0,3.0,clear sky
67,Laguna,US,38.42,-121.42,64.4,55,1,2.53,clear sky
68,Atar,MR,20.52,-13.05,79.12,20,100,8.68,overcast clouds
69,Backnang,DE,48.95,9.43,62.01,80,100,7.47,light rain
70,Teknaf,BD,20.86,92.31,80.87,80,100,7.76,heavy intensity rain
71,Ahipara,NZ,-35.17,173.17,69.71,75,100,9.22,light rain
72,Carnarvon,AU,-24.87,113.63,73.4,49,40,16.11,scattered clouds
73,San Carlos De Bariloche,AR,-41.15,-71.31,60.8,55,0,6.93,clear sky
74,Severo-Kurilsk,RU,50.68,156.12,43.66,75,18,12.84,few clouds
75,Walvis Bay,NA,-22.96,14.51,54.0,87,100,5.82,overcast clouds
76,Chapais,CA,49.78,-74.85,32.0,99,90,6.93,light rain
77,Naze,JP,28.37,129.48,80.6,78,20,3.36,few clouds
78,Sobolevo,RU,54.43,31.9,41.23,91,100,8.08,overcast clouds
79,Ancud,CL,-41.87,-73.82,48.99,87,43,2.24,scattered clouds
80,Fortuna,US,40.6,-124.16,50.0,93,1,6.93,clear sky
81,Kodiak,US,57.79,-152.41,30.2,42,90,21.92,light snow
82,Hermanus,ZA,-34.42,19.23,62.01,86,97,3.0,overcast clouds
83,Saint-Philippe,RE,-21.36,55.77,71.6,60,90,6.93,overcast clouds
84,Bluff,NZ,-46.6,168.33,57.0,64,32,8.99,scattered clouds
85,San Nicolas,PH,18.17,120.6,89.6,70,75,9.17,broken clouds
86,Butaritari,KI,3.07,172.79,82.11,79,59,10.29,light rain
87,Burns Lake,CA,54.23,-125.75,41.0,86,68,1.12,broken clouds
88,Vila,PT,42.03,-8.16,60.01,95,96,8.99,light rain
89,Faanui,PF,-16.48,-151.75,80.15,79,1,16.98,light rain
90,Somerset East,ZA,-32.72,25.59,53.69,87,0,0.69,clear sky
91,Perth,AU,-31.93,115.83,68.0,60,40,5.82,scattered clouds
92,Champaign,US,40.13,-88.2,34.0,63,1,8.05,clear sky
93,Port Blair,IN,11.67,92.75,83.53,72,56,5.79,broken clouds
94,Jamestown,US,42.1,-79.24,35.01,96,90,24.16,light rain
95,Fayaoue,NC,-20.65,166.53,77.58,79,51,14.09,moderate rain
96,Richmond,US,37.55,-77.46,53.6,34,40,16.11,scattered clouds
97,San-Pedro,CI,4.75,-6.64,76.51,92,39,5.35,scattered clouds
98,Puerto Narino,CO,-3.77,-70.38,75.2,100,0,1.5,clear sky
99,Elliot,ZA,-31.33,27.85,46.78,90,15,2.93,few clouds
100,Esperance,AU,-33.87,121.9,80.6,65,75,16.11,light rain
101,Pampa,US,35.54,-100.96,51.8,57,1,13.87,clear sky
102,Cockburn Town,TC,21.46,-71.14,82.2,77,100,18.12,overcast clouds
103,Pitimbu,BR,-7.47,-34.81,78.8,83,75,5.82,broken clouds
104,Itarema,BR,-2.92,-39.92,79.52,81,44,11.32,scattered clouds
105,Broome,US,42.25,-75.83,35.01,96,20,10.29,few clouds
106,Barrow,US,71.29,-156.79,26.6,68,90,17.22,overcast clouds
107,Akyab,MM,20.15,92.9,79.92,82,99,7.29,light rain
108,Havre-Saint-Pierre,CA,50.23,-63.6,41.68,87,100,25.17,overcast clouds
109,Storforshei,NO,66.4,14.52,42.6,80,100,6.96,light rain
110,East London,ZA,-33.02,27.91,62.6,93,20,8.05,few clouds
111,Yanam,IN,16.73,82.22,82.4,74,0,8.05,mist
112,Zhigansk,RU,66.77,123.37,2.28,92,100,21.41,overcast clouds
113,Kruisfontein,ZA,-34.0,24.73,63.0,85,17,1.99,few clouds
114,Upernavik,GL,72.79,-56.15,16.39,93,98,3.98,overcast clouds
115,Tigil,RU,57.8,158.67,39.81,69,66,9.22,broken clouds
116,Dingle,PH,11.0,122.67,83.52,80,93,14.27,light rain
117,Isangel,VU,-19.55,169.27,86.0,66,75,11.41,broken clouds
118,Potiskum,NG,11.71,11.07,74.1,27,84,10.36,broken clouds
119,Mar Del Plata,AR,-38.0,-57.56,60.01,93,0,4.7,clear sky
120,Suntar,RU,62.14,117.63,6.73,86,0,7.78,clear sky
121,Bambous Virieux,MU,-20.34,57.76,73.0,77,75,6.93,broken clouds
122,Vostok,RU,46.49,135.88,33.24,91,70,7.27,broken clouds
123,Najran,SA,17.49,44.13,55.4,32,0,0.4,clear sky
124,Salalah,OM,17.02,54.09,71.6,46,0,3.36,clear sky
125,Richards Bay,ZA,-28.78,32.04,64.54,94,100,4.88,light rain
126,Pasir Gudang,MY,1.46,103.88,89.6,62,75,5.82,broken clouds
127,Mazyr,BY,52.05,29.25,43.11,85,100,7.02,overcast clouds
128,Tasiilaq,GL,65.61,-37.64,24.8,73,0,5.82,clear sky
129,Linguere,SN,15.4,-15.12,68.0,64,0,4.7,clear sky
130,Tiksi,RU,71.69,128.87,-5.66,90,0,6.15,clear sky
131,Lebu,CL,-37.62,-73.65,52.75,93,99,6.38,overcast clouds
132,Oranjemund,NA,-28.55,16.43,60.13,70,2,4.83,clear sky
133,Kangaatsiaq,GL,68.31,-53.46,30.65,91,100,17.92,overcast clouds
134,Saskylakh,RU,71.92,114.08,-10.12,88,51,10.36,broken clouds
135,Alta Floresta,BR,-9.88,-56.09,70.52,98,100,3.09,overcast clouds
136,College,US,64.86,-147.8,-0.99,83,20,1.74,few clouds
137,Nanortalik,GL,60.14,-45.24,32.4,89,0,37.65,clear sky
138,Sangar,RU,63.92,127.47,-5.98,90,100,6.55,overcast clouds
139,Ribeira Grande,PT,38.52,-28.7,63.19,74,35,17.47,scattered clouds
140,Kahului,US,20.89,-156.47,84.2,62,40,11.41,scattered clouds
141,Kayes,ML,14.0,-11.0,76.53,24,0,0.51,clear sky
142,Boyuibe,BO,-20.42,-63.28,63.45,39,0,3.71,clear sky
143,Bud,US,39.45,-86.18,34.0,59,1,4.7,clear sky
144,Staunton,US,38.15,-79.07,41.0,38,40,19.46,scattered clouds
145,Srednekolymsk,RU,67.45,153.68,-3.41,91,56,7.94,broken clouds
146,Popondetta,PG,-8.75,148.25,92.28,48,100,7.23,overcast clouds
147,Cidreira,BR,-30.18,-50.21,61.56,65,11,5.66,few clouds
148,Nantucket,US,41.28,-70.1,59.0,87,90,19.46,moderate rain
149,Victoria Point,AU,-27.58,153.3,79.0,57,40,13.87,scattered clouds
150,Bredasdorp,ZA,-34.53,20.04,64.4,82,98,12.75,overcast clouds
151,Avarua,CK,-21.21,-159.78,78.8,83,88,14.99,light rain
152,Iqaluit,CA,63.75,-68.51,15.8,72,90,9.17,light snow
153,Mahebourg,MU,-20.41,57.7,68.0,77,75,6.93,broken clouds
154,Port Hawkesbury,CA,45.62,-61.35,53.01,81,40,12.75,scattered clouds
155,Qiongshan,CN,20.01,110.35,78.8,83,40,6.71,light rain
156,Vila Franca Do Campo,PT,37.72,-25.43,62.6,82,20,6.93,few clouds
157,Klaksvik,FO,62.23,-6.59,44.6,81,47,14.99,scattered clouds
158,Namie,JP,37.48,141.0,62.01,87,75,6.93,light rain
159,Harper,LR,4.38,-7.72,77.07,89,8,6.11,light rain
160,Discovery Bay,US,37.91,-121.6,62.01,44,1,5.82,clear sky
161,Kirakira,SB,-10.45,161.92,80.19,82,99,6.64,light rain
162,Beloha,MG,-25.17,45.05,67.33,81,0,14.47,clear sky
163,Mayumba,GA,-3.43,10.66,76.93,89,100,3.74,moderate rain
164,Tarime,TZ,-1.35,34.37,71.6,64,20,9.24,few clouds
165,Tigzirt,DZ,36.89,4.12,63.75,58,0,3.49,clear sky
166,Pocatello,US,42.87,-112.45,48.0,41,1,4.7,clear sky
167,Mouzouras,GR,35.53,24.15,59.0,87,20,3.31,few clouds
168,Storsteinnes,NO,69.24,19.23,48.2,57,100,35.57,overcast clouds
169,Souillac,MU,-20.52,57.52,68.0,77,75,6.93,broken clouds
170,Ilulissat,GL,69.22,-51.1,19.4,73,100,6.93,overcast clouds
171,Lagoa,PT,39.05,-27.98,62.42,70,18,16.06,few clouds
172,Berck,FR,50.4,1.6,64.4,82,90,13.87,overcast clouds
173,Sokoni,TZ,-6.43,39.55,75.2,88,20,8.32,few clouds
174,Dunedin,NZ,-45.87,170.5,53.01,68,36,15.99,scattered clouds
175,Port Pirie,AU,-33.18,138.02,87.8,23,13,14.99,few clouds
176,Haapiti,PF,-17.57,-149.87,82.4,69,20,4.7,few clouds
177,Erenhot,CN,43.65,111.98,27.37,68,0,15.93,clear sky
178,Coxim,BR,-18.51,-54.76,74.28,50,0,6.6,clear sky
179,Paamiut,GL,61.99,-49.67,26.74,92,45,5.95,scattered clouds
180,Asilah,MA,35.47,-6.03,62.6,67,0,4.7,clear sky
181,Ketchikan,US,55.34,-131.65,51.8,100,90,25.28,heavy intensity rain
182,Sabang,ID,5.89,95.32,82.08,78,100,9.78,overcast clouds
183,Mangrol,IN,21.12,70.12,80.26,34,0,11.27,clear sky
184,Yellowknife,CA,62.46,-114.35,10.99,84,75,11.41,light snow
185,Tooele,US,40.53,-112.3,48.99,43,1,4.7,clear sky
186,Taxco,MX,18.55,-99.6,63.03,74,39,2.86,scattered clouds
187,Kavieng,PG,-2.57,150.8,86.49,64,5,2.48,clear sky
188,Derzhavinsk,KZ,51.1,66.32,32.18,97,28,9.69,scattered clouds
189,Khatanga,RU,71.97,102.5,8.76,95,99,8.39,overcast clouds
190,Komsomolskiy,UZ,40.43,71.72,44.6,36,100,6.93,overcast clouds
191,Mana,GF,5.66,-53.78,80.67,81,100,8.99,overcast clouds
192,San Jeronimo,PE,-11.95,-75.28,52.79,68,78,1.32,light rain
193,Ponta Do Sol,PT,32.67,-17.1,66.2,72,40,2.24,scattered clouds
194,Sarab,IR,38.61,44.99,54.66,39,67,2.75,broken clouds
195,The Valley,AI,18.22,-63.06,82.4,78,75,11.41,haze
196,Lahaina,US,20.88,-156.68,84.2,94,75,4.7,broken clouds
197,Chokurdakh,RU,70.63,147.92,-1.43,93,100,12.73,light snow
198,Pilani,IN,28.37,75.6,71.94,20,0,8.7,clear sky
199,Vanavara,RU,60.34,102.28,21.2,97,100,10.2,light snow
200,Plettenberg Bay,ZA,-34.05,23.37,60.93,87,0,6.44,clear sky
201,Longyearbyen,SJ,78.22,15.64,35.6,69,0,26.4,clear sky
202,Shawinigan,CA,46.57,-72.75,42.8,93,96,5.82,overcast clouds
203,Rawson,AR,-43.3,-65.1,74.1,27,90,24.16,overcast clouds
204,Nyurba,RU,63.28,118.33,5.2,87,91,10.09,overcast clouds
205,Mwinilunga,ZM,-11.74,24.43,61.29,53,16,2.75,few clouds
206,Kushima,JP,31.46,131.23,66.2,93,75,4.7,mist
207,Ugoofaaru,MV,5.67,73.0,82.63,70,38,6.42,scattered clouds
208,Kysyl-Syr,RU,63.9,122.76,4.1,90,18,8.16,few clouds
209,Seoul,KR,37.57,126.98,57.2,28,1,5.82,clear sky
210,Balkanabat,TM,39.51,54.37,60.1,43,0,0.96,clear sky
211,Vila Velha,BR,-20.33,-40.29,69.8,77,90,16.11,overcast clouds
212,Matagami,CA,49.75,-77.63,24.8,85,100,21.34,overcast clouds
213,Grand Gaube,MU,-20.01,57.66,73.0,61,88,3.0,overcast clouds
214,Flin Flon,CA,54.77,-101.86,33.62,93,100,7.09,overcast clouds
215,Ndjole,GA,-0.18,10.76,73.24,95,100,1.48,moderate rain
216,Northam,GB,51.03,-4.22,61.0,95,100,8.01,light rain
217,Sorong,ID,-0.88,131.25,84.54,71,100,6.89,light rain
218,Varberg,SE,57.11,12.25,54.0,92,100,25.99,moderate rain
219,Kingman,US,35.19,-114.05,73.0,15,1,10.29,clear sky
220,Qusar,AZ,41.43,48.43,56.66,38,0,5.12,clear sky
221,Gondanglegi,ID,-7.75,112.01,87.26,63,41,7.85,light rain
222,Saint-Leu,RE,-21.15,55.28,71.6,60,90,6.93,overcast clouds
223,Mao,ES,39.89,4.27,62.6,88,0,6.93,clear sky
224,Cabog,PH,15.32,121.37,81.91,78,100,2.73,moderate rain
225,Codrington,AU,-38.27,141.97,74.89,62,4,10.76,clear sky
226,Madimba,TZ,-10.4,40.33,69.8,94,40,3.0,scattered clouds
227,Kailua,US,21.4,-157.74,80.6,61,75,5.82,broken clouds
228,Luderitz,NA,-26.65,15.16,59.56,76,100,3.87,overcast clouds
229,Phillipsburg,US,40.69,-75.19,42.01,60,40,13.87,scattered clouds
230,Strezhevoy,RU,60.73,77.59,32.0,97,90,8.95,overcast clouds
231,Vardo,NO,70.37,31.11,44.69,81,100,28.16,overcast clouds
232,Nizhnevartovsk,RU,60.93,76.55,32.0,97,90,8.95,overcast clouds
233,Atikokan,CA,48.76,-91.62,25.25,89,87,9.69,overcast clouds
234,Hasaki,JP,35.73,140.83,70.0,77,75,12.75,broken clouds
235,Los Aquijes,PE,-14.1,-75.69,64.4,82,90,10.29,overcast clouds
236,Pangnirtung,CA,66.15,-65.71,7.72,84,60,5.41,broken clouds
237,Te Anau,NZ,-45.42,167.72,60.84,39,8,2.46,clear sky
238,Urengoy,RU,65.97,78.37,25.74,98,97,15.73,light snow
239,Batticaloa,LK,7.71,81.69,82.27,72,22,6.15,few clouds
240,Gunjur,GM,13.2,-16.73,75.2,100,5,8.7,clear sky
241,Viedma,AR,-40.81,-63.0,61.0,58,0,14.63,clear sky
242,Guben,DE,51.95,14.71,57.0,94,100,5.01,overcast clouds
243,Balkhash,KZ,46.84,74.98,35.6,51,0,6.71,clear sky
244,Arkhangelsk,RU,64.54,40.54,32.0,97,75,4.47,broken clouds
245,Touros,BR,-5.2,-35.46,80.6,78,75,10.29,broken clouds
246,Portland,US,45.52,-122.68,57.0,61,1,2.42,clear sky
247,Laem Sing,TH,12.48,102.07,86.0,74,75,9.17,broken clouds
248,Parabel,RU,58.7,81.48,29.35,97,93,9.75,overcast clouds
249,Necochea,AR,-38.55,-58.74,51.01,81,5,5.99,clear sky
250,Lodwar,KE,3.12,35.6,80.69,54,94,12.82,overcast clouds
251,Fairbanks,US,64.84,-147.72,-0.99,76,1,1.9,clear sky
252,Damaturu,NG,11.75,11.96,74.97,32,97,9.64,overcast clouds
253,Ishigaki,JP,24.34,124.16,82.4,65,75,18.34,broken clouds
254,Castro,BR,-24.79,-50.01,49.33,95,39,8.93,scattered clouds
255,Awbari,LY,26.59,12.78,57.94,65,0,7.11,clear sky
256,Jizan,SA,17.33,42.67,78.8,78,20,10.29,few clouds
257,Quarai,BR,-30.39,-56.45,54.9,75,0,10.85,clear sky
258,Nanchong,CN,30.8,106.08,61.9,64,79,0.43,broken clouds
259,Rundu,NA,-17.93,19.77,72.16,45,58,1.34,broken clouds
260,Nalut,LY,30.33,10.85,56.66,78,0,9.71,clear sky
261,Coquimbo,CL,-29.95,-71.34,55.4,87,40,2.24,scattered clouds
262,Chara,RU,56.91,118.26,-2.6,83,22,2.46,few clouds
263,Esqueda,MX,30.72,-109.58,65.37,33,0,10.96,clear sky
264,Matara,LK,5.95,80.54,83.53,68,32,6.29,light rain
265,Airai,TL,-8.93,125.41,80.06,41,98,4.07,overcast clouds
266,Devonport,AU,-41.17,146.35,66.0,66,60,3.0,broken clouds
267,Amapa,BR,1.0,-52.0,74.86,89,72,3.4,broken clouds
268,Pueblo Nuevo,MX,23.38,-105.38,58.64,39,4,10.4,clear sky
269,Prince Rupert,CA,54.32,-130.32,50.0,76,90,26.4,moderate rain
270,Port Augusta,AU,-32.5,137.77,86.0,27,28,11.41,scattered clouds
271,Nemuro,JP,43.32,145.57,59.0,82,75,14.99,light intensity shower rain
272,Constantine,DZ,36.37,6.61,46.4,87,0,2.13,clear sky
273,Sisimiut,GL,66.94,-53.67,27.48,90,100,9.62,light snow
274,Arlit,NE,18.74,7.39,69.3,28,0,5.32,clear sky
275,San Francisco,US,37.77,-122.42,69.8,72,20,10.29,few clouds
276,Bahia Honda,CU,22.9,-83.16,78.48,86,9,11.3,light rain
277,Belyy Yar,RU,53.6,91.39,28.4,100,20,2.24,mist
278,Valdosta,US,30.83,-83.28,62.01,82,1,9.6,clear sky
279,Iberia,US,29.95,-91.75,60.8,67,1,11.41,clear sky
280,Tongliao,CN,43.61,122.27,38.89,56,0,19.04,clear sky
281,Azovo,RU,54.7,73.02,32.0,97,75,8.95,light shower snow
282,Deniliquin,AU,-35.53,144.97,81.52,31,0,6.93,clear sky
283,Mackenzie,CA,55.3,-123.17,42.8,70,90,9.17,overcast clouds
284,Hambantota,LK,6.12,81.12,82.11,72,82,6.53,moderate rain
285,Sao Joao Da Barra,BR,-21.64,-41.05,66.67,82,74,17.13,broken clouds
286,Tucuman,AR,-26.82,-65.22,77.0,27,0,6.93,clear sky
287,Tela,HN,15.78,-87.45,73.4,100,90,5.82,overcast clouds
288,At-Bashi,KG,41.17,75.81,35.08,58,95,0.56,overcast clouds
289,Comodoro Rivadavia,AR,-45.87,-67.5,64.4,59,0,2.24,clear sky
290,Kapuskasing,CA,49.42,-82.43,21.2,73,100,14.99,overcast clouds
291,Sept-Iles,CA,50.2,-66.38,39.2,86,100,3.36,light rain
292,Outjo,NA,-20.12,16.15,70.79,20,73,7.81,broken clouds
293,Merauke,ID,-8.47,140.33,89.08,61,43,11.16,scattered clouds
294,Freeport,US,40.66,-73.58,48.99,61,40,16.11,scattered clouds
295,Rocha,UY,-34.48,-54.33,49.17,90,4,1.77,clear sky
296,Dabeiba,CO,7.0,-76.27,72.91,78,100,1.48,overcast clouds
297,Savona,IT,44.3,8.27,61.0,99,100,1.72,overcast clouds
298,Sattahip,TH,12.67,100.9,87.8,58,20,9.17,few clouds
299,Caravelas,BR,-17.71,-39.25,71.58,86,100,11.77,light rain
300,Cayenne,GF,4.93,-52.33,75.2,100,75,3.36,light rain
301,Ucluelet,CA,48.93,-125.55,46.0,88,98,7.56,overcast clouds
302,Dharchula,IN,29.85,80.53,67.68,39,1,0.81,clear sky
303,Grindavik,IS,63.84,-22.43,32.0,73,75,6.93,broken clouds
304,Ha Tinh,VN,18.33,105.9,78.6,81,56,7.34,light rain
305,Fort Nelson,CA,58.81,-122.7,14.0,78,90,8.05,light snow
306,Southbridge,US,42.08,-72.03,43.0,96,100,4.0,light rain
307,Manokwari,ID,-0.87,134.08,82.26,75,100,6.89,light rain
308,Gazli,UZ,40.13,63.45,51.19,37,0,8.34,clear sky
309,Okrika,NG,4.74,7.08,76.84,90,99,1.59,overcast clouds
310,Jaciara,BR,-15.97,-54.97,71.22,83,52,2.17,broken clouds
311,Imeni Poliny Osipenko,RU,52.42,136.49,28.69,98,100,14.56,overcast clouds
312,Algete,ES,40.6,-3.5,52.0,100,24,5.82,few clouds
313,Xiongzhou,CN,25.12,114.3,69.73,64,80,7.43,broken clouds
314,Padang,ID,-0.95,100.35,85.35,61,82,4.92,light rain
315,Porto Novo,BJ,6.5,2.6,77.54,89,38,6.04,scattered clouds
316,Florence,IT,43.77,11.25,59.0,93,75,3.36,broken clouds
317,Barranca,PE,-10.75,-77.77,58.93,93,19,4.76,few clouds
318,Varazze,IT,44.36,8.57,64.4,77,75,11.41,broken clouds
319,Tacuarembo,UY,-31.73,-55.98,50.7,85,0,5.32,clear sky
320,Hamilton,US,39.18,-84.53,37.99,51,40,13.87,scattered clouds
321,Ravar,IR,31.27,56.81,51.04,42,0,1.19,clear sky
322,Nicoya,CR,10.15,-85.45,74.34,89,100,3.58,overcast clouds
323,Clyde River,CA,70.47,-68.59,8.6,78,20,16.11,few clouds
324,Medicine Hat,CA,50.05,-110.67,41.0,80,40,5.82,scattered clouds
325,Nirsa,IN,23.78,86.72,80.6,69,0,4.7,mist
326,Maldonado,UY,-34.67,-54.92,55.4,87,0,0.98,clear sky
327,Kurilsk,RU,45.23,147.88,52.88,91,100,15.73,light rain
328,Denpasar,ID,-8.65,115.22,84.49,68,30,9.69,light rain
329,Pokhara,NP,28.23,83.98,76.55,38,0,2.35,clear sky
330,Mandalgovi,MN,45.76,106.27,26.64,76,0,9.78,clear sky
331,Cherskiy,RU,68.75,161.3,0.66,92,96,5.95,overcast clouds
332,Aklavik,CA,68.22,-135.01,10.4,85,86,7.09,overcast clouds
333,Mount Gambier,AU,-37.83,140.77,82.4,26,47,14.99,scattered clouds
334,Pacific Grove,US,36.62,-121.92,57.2,93,40,4.7,mist
335,Vaitape,PF,-16.52,-151.75,81.0,77,1,17.11,light rain
336,Yangjiang,CN,21.85,111.97,79.0,62,100,10.36,overcast clouds
337,Darhan,MN,49.49,105.92,25.39,75,0,6.51,clear sky
